dep;jour;pop;P;cl_age90
01;2020-05-28;26830;0;89
01;2020-05-28;7395;0;90
01;2020-05-28;656955;1;0
01;2020-05-29;83001;0;09
01;2020-05-29;84665;2;19
01;2020-05-29;65496;0;29
01;2020-05-29;85588;0;39
01;2020-05-29;89678;0;49
01;2020-05-29;89791;0;59
01;2020-05-29;73500;0;69
01;2020-05-29;51011;0;79
01;2020-05-29;26830;2;89
01;2020-05-29;7395;2;90
01;2020-05-29;656955;6;0
01;2020-05-30;83001;0;09
01;2020-05-30;84665;0;19
01;2020-05-30;65496;0;29
01;2020-05-30;85588;0;39
01;2020-05-30;89678;1;49
01;2020-05-30;89791;0;59
01;2020-05-30;73500;0;69
01;2020-05-30;51011;1;79
01;2020-05-30;26830;0;89
01;2020-05-30;7395;0;90
01;2020-05-30;656955;2;0
01;2020-05-31;83001;0;09
01;2020-05-31;84665;0;19
01;2020-05-31;65496;0;29
01;2020-05-31;85588;0;39
01;2020-05-31;89678;0;49
01;2020-05-31;89791;0;59
01;2020-05-31;73500;0;69
01;2020-05-31;51011;0;79
01;2020-05-31;26830;0;89
01;2020-05-31;7395;1;90
01;2020-05-31;656955;1;0
01;2020-06-01;83001;0;09
01;2020-06-01;84665;0;19
01;2020-06-01;65496;0;29
01;2020-06-01;85588;0;39
01;2020-06-01;89678;0;49
01;2020-06-01;89791;0;59
01;2020-06-01;73500;0;69
01;2020-06-01;51011;0;79
01;2020-06-01;26830;1;89
01;2020-06-01;7395;3;90
01;2020-06-01;656955;4;0
01;2020-06-02;83001;0;09
01;2020-06-02;84665;0;19
01;2020-06-02;65496;0;29
01;2020-06-02;85588;0;39
01;2020-06-02;89678;0;49
01;2020-06-02;89791;0;59
01;2020-06-02;73500;0;69
01;2020-06-02;51011;0;79
01;2020-06-02;26830;1;89
01;2020-06-02;7395;2;90
01;2020-06-02;656955;3;0
01;2020-06-03;83001;0;09
01;2020-06-03;84665;0;19
01;2020-06-03;65496;1;29
01;2020-06-03;85588;1;39
01;2020-06-03;89678;0;49
01;2020-06-03;89791;0;59
01;2020-06-03;73500;0;69
01;2020-06-03;51011;0;79
01;2020-06-03;26830;0;89
01;2020-06-03;7395;0;90
01;2020-06-03;656955;2;0
01;2020-06-04;83001;0;09
01;2020-06-04;84665;0;19
01;2020-06-04;65496;0;29
01;2020-06-04;85588;0;39
01;2020-06-04;89678;0;49
01;2020-06-04;89791;0;59
01;2020-06-04;73500;0;69
01;2020-06-04;51011;0;79
01;2020-06-04;26830;0;89
01;2020-06-04;7395;0;90
01;2020-06-04;656955;0;0
01;2020-06-05;83001;0;09
01;2020-06-05;84665;0;19
01;2020-06-05;65496;0;29
01;2020-06-05;85588;1;39
01;2020-06-05;89678;0;49
